"","Entity.A.Type","Entity.A","Entity.B.Type","Entity.B","Connection"
"1878","Organization","LFB ACQUISITION LLC","Organization","TRUMP NATIONAL GOLF CLUB - BEDMINSTER","Ownership"
"1879","Organization","LFB ACQUISITION MEMBER CORP.","Organization","LFB ACQUISITION LLC","Ownership"
"1910","Organization","MANHATTAN PARTNERS","Organization","USTC HOLDINGS, LLC","Ownership"
"1911","Organization","MAR-A-LAGO CLUB, INC","Organization","MALC, INC.","Ownership"
"1912","Organization","MAR-A-LAGO CLUB, INC","Organization","MAR-A-LAGO CLUB, LLC","Ownership"
"2093","Organization","MIDLAND RESOURCES HOLDING INC.","Organization","ZAPOROZHSTAL","Ownership"
"2129","Organization","MOBILE PAYROLL CONSTRUCTION MANAGER CORP.","Organization","MOBILE PAYROLL CONSTRUCTION LLC","Ownership"
"2139","Organization","NEW WORLD PROPERTY MANAGEMENT LIMITED","Organization","TRUMP/NEW WORLD PROPERTY MANAGEMENT, LLC","Ownership"
"2168","Organization","OCEAN DEVELOPMENT MEMBER, INC.","Organization","OCEAN DEVELOPMENT SERVICES LLC","Ownership"
"2184","Organization","ONE CENTRAL PARK WEST ASSOCIATES","Organization","ONE CENTRAL PARK WEST PT ASSOCIATES","Ownership"
"2189","Organization","OPO HOTEL MANAGER LLC","Organization","THC DC RESTAURANT HOSPITALITY LLC","Ownership"
"2190","Organization","OPO HOTEL MANAGER MEMBER CORP.","Organization","OPO HOTEL MANAGER LLC","Ownership"
"2192","Organization","PANAMA OCEAN CLUB MANAGEMENT MEMBER CORP.","Organization","PANAMA OCEAN CLUB MANAGEMENT LLC","Ownership"
"2193","Organization","PARAMOUNT RPV HOLDINGS MANAGER CORP.","Organization","PARAMOUNT RPV HOLDINGS LLC","Ownership"
"2194","Organization","PARC CONSULTING, INC.","Organization","40 WALL DEVELOPMENT ASSOCIATES LLC","Ownership"
"2240","Organization","PINE HILL DEVELOPMENT MANAGING MEMBER CORP.","Organization","PINE HILL DEVELOPMENT LLC","Ownership"
"2241","Organization","PING AN INSURANCE","Organization","OSCAR INSURANCE CORPORATION","Investor"
"2243","Organization","PLAZA CONSULTING CORP.","Organization","THE EAST 61 STREET COMPANY, L.P.","Ownership"
"2244","Organization","POKER VENTURE MANAGING MEMBER CORP.","Organization","POKER VENTURE LLC","Ownership"
"2246","Organization","PRINCETON UNIVERSITY","Organization","THRIVE CAPITAL","Investor"
"2344","Organization","RESTAURANT 40 MEMBER CORP.","Organization","RESTAURANT 40 LLC","Ownership"
"2451","Organization","ROSNEFT","Organization","GLENCORE","Ownership"
"2453","Organization","ROSNEFT","Organization","QATARI INVESTMENT AUTHORITY","Ownership"
"2455","Organization","RPV DEVELOPMENT LLC","Organization","TRUMP NATIONAL GOLF CLUB - LOS ANGELES","Ownership"
"2507","Organization","SENTIENT JETS MEMBER CORP.","Organization","TRUMP JETS LLC","Ownership"
"2527","Organization","SLC TURNBERRY LIMITED","Organization","NITTO WORLD CO. LIMITED","Ownership"
"2529","Organization","SMC OCEAN LLC","Organization","TRUMP ON THE OCEAN LLC","Ownership"
"2736","Organization","THC BAKU HOTEL MANAGER SERVICES MEMBER CORP.","Organization","THC BAKU HOTEL MANAGER SERVICES LLC","Ownership"
"2737","Organization","THC BAKU SERVICES MEMBER CORP.","Organization","THC BAKU SERVICES LLC","Ownership"
"2738","Organization","THC CENTRAL RESERVATIONS MEMBER CORP.","Organization","THC CENTRAL RESERVATIONS LLC","Ownership"
"2741","Organization","THC CHINA TECHNICAL SERVICES MANAGER CORP.","Organization","THC CHINA TECHNICAL SERVICES LLC","Ownership"
"2742","Organization","THC DEVELOPMENT BRAZIL MANAGING MEMBER CORP.","Organization","THC BARRA HOTELARIA LTDA","Ownership"
"2743","Organization","THC DEVELOPMENT BRAZIL MANAGING MEMBER CORP.","Organization","THC DEVELOPMENT BRAZIL LLC","Ownership"
"2744","Organization","THC DUBAI II HOTEL MANAGER MEMBER CORP.","Organization","THC DUBAI II HOTEL MANAGER LLC","Ownership"
"2745","Organization","THC JEDDAH HOTEL ADVISOR MEMBER CORP.","Organization","THC JEDDAH HOTEL ADVISOR LLC","Ownership"
"2746","Organization","THC JEDDAH HOTEL MANAGER MEMBER CORP.","Organization","THC JEDDAH HOTEL MANAGER LLC","Ownership"
"2747","Organization","THC MIAMI RESTAURANT HOSPITALITY MEMBER CORP.","Organization","THC MIAMI RESTAURANT HOSPITALITY LLC","Ownership"
"2748","Organization","THC QATAR HOTEL MANAGER MEMBER CORP.","Organization","THC QATAR HOTEL MANAGER LLC","Ownership"
"2749","Organization","THC RIO MANAGING MEMBER CORP.","Organization","THC RIO MANAGER LLC","Ownership"
"2750","Organization","THC SALES & MARKETING MEMBER CORP.","Organization","THC SALES & MARKETING LLC","Ownership"
"2751","Organization","THC SERVICES SHENZHEN MEMBER CORP.","Organization","THC SERVICES SHENZHEN LLC","Ownership"
"2752","Organization","THC SHENZHEN HOTEL MANAGER MEMBER CORP.","Organization","THC SHENZHEN HOTEL MANAGER LLC","Ownership"
"2753","Organization","THC VANCOUVER MANAGEMENT CORP.","Organization","THC VANCOUVER PAYROLL ULC","Ownership"
"2754","Organization","THC VENTURE I MANAGING MEMBER CORP.","Organization","THC VENTURE I LLC","Ownership"
"2755","Organization","THC VENTURE II MANAGING MEMBER CORP.","Organization","THC VENTURE II LLC","Ownership"
"2767","Organization","THE CARIBUSINESS RE CORP.","Organization","CARIBUSINESS INVESTMENTS, S.R.L.","Ownership"
"2768","Organization","THE CARIBUSINESS RE CORP.","Organization","CARIBUSINESS MRE LLC","Ownership"
"2771","Organization","THE DONALD J. TRUMP AND GRANTOR TRUST","Organization","BEACH HAVEN APT #1. INC.","Ownership"
"2772","Organization","THE DONALD J. TRUMP AND GRANTOR TRUST","Organization","SHORE HAVEN APT#1, INC.","Ownership"
"2773","Organization","THE DONALD J. TRUMP REVOCABLE TRUST","Organization","DJT HOLDINGS LLC","Ownership"
"2774","Organization","THE DONALD J. TRUMP REVOCABLE TRUST","Organization","DJT HOLDINGS MANAGING MEMBER LLC","Ownership"
"2775","Organization","THE DONALD J. TRUMP REVOCABLE TRUST","Organization","THE DONALD J. TRUMP COMPANY LLC","Ownership"
"2776","Organization","THE GRANTHAM FOUNDATION","Organization","THRIVE CAPITAL","Investor"
"2785","Organization","THE TRUMP ENTREPRENEUR INITIATIVE LLC (NY DOMESTIC)","Organization","THE TRUMP ENTREPRENEUR INITIATIVE LLC","Ownership"
"2786","Organization","THE TRUMP ENTREPRENEUR INITIATIVE LLC (NY DOMESTIC)","Organization","TRUMP EDUCATION ULC, NOVA SCOTIA","Ownership"
"2787","Organization","THE TRUMP FOLLIES MEMBER INC.","Organization","THE TRUMP FOLLIES LLC","Ownership"
